countryFrom,countryTo,value
DK,NL,0.04306
DK,IT,0.03409
AT,IT,0.03453
RU,UK,0.02079
AT,FR,0.03354
CA,SE,0.02747
DE,GR,0.03117
CN,ES,0.01712
DE,NO,0.02966
BR,IT,0.02250
TH,US,0.02750
CN,NL,0.01657
IL,UK,0.02439
DE,HU,0.04104
CZ,US,0.02332
KE,UK,0.05472
NZ,UK,0.03655
AU,SE,0.02929
AU,NZ,0.06304
BR,ES,0.02620
FR,IN,0.01419
CN,HK,0.05393
ES,JP,0.01825
BR,PT,0.03455
BR,CA,0.02133
DK,ES,0.03643
AT,CH,0.04138
CZ,DE,0.03391
TR,US,0.01461
CH,SE,0.03083
IT,PT,0.02258
DK,NO,0.06519
BE,CA,0.02666
IR,US,0.01045
CN,SE,0.01752
JP,KR,0.01717
SA,US,0.01919
IN,MY,0.03743
IT,PL,0.02403
JP,NL,0.01602
CA,IN,0.01351
CN,TW,0.02424
GR,IT,0.03017
AT,NL,0.03182
HK,US,0.02537
CH,JP,0.01772
AT,ES,0.03140
FR,IL,0.02481
CL,DE,0.03260
FI,FR,0.02754
DE,IE,0.02855
CZ,UK,0.02602
FI,IT,0.02796
CH,CN,0.01377
CA,DK,0.02400
FR,GR,0.02634
AU,IN,0.01387
UG,US,0.03071
AU,DK,0.02757
EG,US,0.01904
BE,SE,0.03244
AU,BE,0.02501
IL,IT,0.02277
HU,UK,0.02561
NL,NO,0.03132
FR,NO,0.02422
TH,UK,0.02780
EG,SA,0.12428
MY,SA,0.09382
ES,PL,0.02476
SG,UK,0.02540
CH,DK,0.03064
AU,BR,0.01802
CN,SG,0.02936
DE,ZA,0.02174
IN,IT,0.01013
BR,CN,0.01203
CN,KR,0.01105
DE,KR,0.01016
FI,NL,0.03071
CL,FR,0.03468
CZ,FR,0.03034
CN,IN,0.00836
CL,UK,0.02481
NL,PT,0.01992
JP,RU,0.01628
IN,JP,0.00948
AT,CA,0.02041
JP,TW,0.02071
AT,SE,0.02916
KR,UK,0.00822
JP,SE,0.01389
ES,GR,0.02682
CH,RU,0.02124
BR,NL,0.01488
AU,ZA,0.02878
ES,FI,0.02634
TW,UK,0.01370
CN,DK,0.01431
PE,US,0.03084
IT,NO,0.01938
UG,UK,0.03536
DK,FI,0.04173
ES,RU,0.01785
AR,ES,0.03490
FR,ZA,0.02157
CA,ZA,0.02369
NL,PL,0.01879
ES,NO,0.02409
MY,US,0.01059
DE,UA,0.02523
CL,ES,0.03654
BR,CH,0.01625
CA,NO,0.01979
PK,US,0.01372
NL,ZA,0.02645
CO,US,0.02145
ES,MX,0.03027
TZ,UK,0.03485
CH,PL,0.02080
BE,DK,0.02958
AT,BE,0.02964
FR,IE,0.02342
AT,AU,0.01937
PL,RU,0.02427
PL,SE,0.02211
TZ,US,0.02193
FR,HU,0.02381
CA,IL,0.01679
AR,BR,0.03514
CH,PT,0.01789
CA,FI,0.01893
CA,RU,0.01309
GR,NL,0.02156
CH,IN,0.01031
FI,NO,0.04123
AU,FI,0.02141
BR,JP,0.00983
AU,NO,0.02022
NL,RU,0.01477
CZ,IT,0.02167
SI,US,0.01589
RU,SE,0.01856
DE,MX,0.01629
AR,FR,0.02212
AR,UK,0.01624
IR,MY,0.03211
CH,FI,0.02402
SA,UK,0.01503
DE,NZ,0.01752
AU,SG,0.02777
AT,CN,0.01143
MX,UK,0.01444
BE,CN,0.01037
IE,IT,0.02066
HU,IT,0.02144
BE,JP,0.01221
CH,ZA,0.02551
CH,IL,0.01992
AR,DE,0.01654
BE,PL,0.02214
BE,PT,0.02002
ES,IL,0.01700
CL,IT,0.02229
BD,US,0.01895
CA,KR,0.00855
CA,PL,0.01226
ES,IN,0.00781
MY,UK,0.01233
NG,US,0.01227
DE,RO,0.02030
IR,UK,0.00727
AU,TH,0.02745
CH,GR,0.02124
IN,NL,0.00740
DE,TW,0.01047
BE,BR,0.01547
IE,NL,0.02292
CN,MY,0.01365
IN,SA,0.01817
CA,NZ,0.02013
IN,SE,0.00892
AT,DK,0.02360
ES,HU,0.02363
IL,NL,0.01486
FI,RU,0.02390
ES,IE,0.02251
DE,TR,0.00980
TR,UK,0.00896
UA,US,0.01038
DK,JP,0.01117
CZ,ES,0.02188
CA,PT,0.00956
FR,TN,0.03388
DE,SG,0.01394
MY,TH,0.05496
FR,RO,0.02181
AT,JP,0.01085
CH,NO,0.01782
DK,PL,0.01972
CA,IE,0.01744
JP,TH,0.01885
AU,MY,0.01784
RO,US,0.01022
PT,SE,0.01354
CN,RU,0.00726
PK,UK,0.01337
DE,SI,0.01922
FR,MA,0.02915
BR,SE,0.01099
HR,US,0.01307
GH,UK,0.02608
HU,NL,0.02030
GH,US,0.01692
BE,RU,0.01580
IT,SI,0.02395
BR,RU,0.01187
FR,MX,0.01438
IN,ZA,0.01343
IT,ZA,0.01308
MW,UK,0.03360
US,ZM,0.02459
BE,NO,0.02142
GR,SE,0.01854
US,VN,0.01448
FR,NZ,0.01551
DE,HR,0.02100
BR,IN,0.00677
IT,TR,0.01062
FI,JP,0.01168
SE,ZA,0.02019
CA,TW,0.01127
CN,FI,0.00968
BE,ZA,0.02398
RU,UA,0.03265
FR,KR,0.00579
AR,IT,0.01535
BR,MX,0.02007
JP,PL,0.00858
CA,MX,0.01488
AT,PL,0.01768
CN,PT,0.00647
DK,PT,0.01568
CA,SA,0.01499
BE,GR,0.02087
MW,US,0.02033
IT,MX,0.01366
CA,IR,0.00797
CH,CZ,0.02060
IT,RO,0.01904
DE,IR,0.00583
AU,PT,0.00931
IL,RU,0.01657
EG,UK,0.01181
BR,CL,0.02278
FR,TR,0.00975
CH,HU,0.02130
CZ,PL,0.02614
AU,IE,0.01737
FR,TW,0.00962
CZ,NL,0.01718
DZ,FR,0.03992
CN,IL,0.00785
ES,ZA,0.01499
AU,IL,0.01144
AU,RU,0.00913
ET,US,0.01264
CN,TH,0.01318
CA,CL,0.01626
CN,SA,0.01117
PT,RU,0.01227
AU,PL,0.00964
BE,CZ,0.02512
SI,UK,0.01471
JP,PT,0.00699
CZ,SE,0.02065
UK,VN,0.01913
AU,CL,0.01842
AT,HU,0.02813
IT,KR,0.00518
HK,UK,0.01262
AT,PT,0.01410
JP,SG,0.01361
EE,US,0.01319
AT,RU,0.01414
KE,ZA,0.05397
AT,FI,0.02018
FR,SG,0.01281
AR,CA,0.01394
IT,TW,0.00880
ID,US,0.01290
HU,SE,0.02054
FR,TH,0.01367
DE,SA,0.00942
BE,FI,0.01799
CA,GR,0.00998
DE,EG,0.01110
AT,NO,0.01883
AR,CL,0.04693
PL,PT,0.01211
FI,PL,0.01772
IN,KR,0.00501
AT,CZ,0.02494
CN,NO,0.00746
IS,US,0.01508
QA,US,0.01419
NG,UK,0.01157
BG,DE,0.01721
HR,UK,0.01516
IL,JP,0.00803
AU,TW,0.01053
AU,KR,0.00592
CN,MX,0.00947
FR,SN,0.03693
NL,NZ,0.01529
NO,RU,0.01485
BE,HU,0.02278
BR,CO,0.03003
BE,IN,0.00682
CN,GR,0.00738
IR,IT,0.00593
GM,UK,0.03612
CO,ES,0.02613
CM,FR,0.02684
CN,ZA,0.00801
IE,SE,0.01754
AU,IR,0.00722
IT,NZ,0.01159
DK,GR,0.01722
PK,SA,0.04083
DE,PK,0.01002
FR,UA,0.01341
DK,RU,0.01205
LB,US,0.01336
CA,PK,0.01349
CH,IE,0.01546
CA,CZ,0.01117
GR,PL,0.01519
NO,PL,0.01464
ES,TR,0.00951
ET,UK,0.01486
CA,SG,0.01175
CZ,RU,0.01796
AT,BR,0.00956
CN,NZ,0.00920
EE,UK,0.01648
CA,HU,0.01136
IT,UA,0.01280
ES,KR,0.00524
BR,DK,0.00915
IL,SE,0.01070
HU,JP,0.01059
PL,UA,0.02362
BE,IE,0.01875
CM,US,0.01145
IR,SE,0.00821
CZ,SK,0.07131
PH,US,0.01414
BE,IL,0.01248
JP,NO,0.00726
PE,UK,0.01730
AT,IL,0.01361
US,VE,0.01266
CL,NL,0.01353
DE,EE,0.01670
DE,SK,0.01698
CN,HU,0.00849
AT,GR,0.01536
MY,PK,0.03201
SK,US,0.01004
FR,SI,0.01430
AU,SA,0.01155
BR,ZA,0.01153
BE,CL,0.02022
SE,UG,0.02801
JP,MY,0.00831
CH,TZ,0.02669
RO,UK,0.00895
FR,IR,0.00472
IS,SE,0.03964
AU,GR,0.00883
NO,PT,0.01171
CH,KE,0.02090
ES,NZ,0.01234
IN,TW,0.00665
DE,LU,0.01971
BD,UK,0.01339
KE,UG,0.08614
CZ,PT,0.01535
UG,ZA,0.04684
CN,PL,0.00442
BG,US,0.00774
BG,IT,0.01632
CH,KR,0.00523
CA,KE,0.01458
DE,TH,0.00788
CO,UK,0.01166
AR,CH,0.01344
IN,PL,0.00516
CN,IE,0.00736
NL,TR,0.00770
KE,NL,0.01671
AM,DE,0.01746
EE,SE,0.03056
IN,SG,0.00928
JP,VN,0.01764
LU,US,0.01111
IN,RU,0.00470
CZ,DK,0.01738
CN,PK,0.00845
MX,NL,0.01017
EE,FI,0.04736
FR,SA,0.00807
UK,ZW,0.02384
GR,PT,0.01105
CZ,JP,0.00846
UA,UK,0.00764
AU,MX,0.00992
ID,UK,0.01323
FI,PT,0.01097
CR,US,0.01607
DK,IN,0.00533
AU,ID,0.02279
IN,PT,0.00441
NZ,SE,0.01370
ES,TW,0.00737
IL,IN,0.00552
AU,HK,0.01368
KR,TW,0.00753
GR,JP,0.00620
IS,UK,0.01547
HU,PL,0.01580
NL,SG,0.01055
IN,LK,0.02143
AR,AU,0.01032
ID,NL,0.02168
AR,MX,0.02569
FR,LB,0.01986
DE,HK,0.00838
HR,IT,0.01373
GR,NO,0.01423
KE,TZ,0.07711
CH,NZ,0.01198
DK,IE,0.01598
ML,US,0.01664
BE,NZ,0.01544
ES,SI,0.01525
CH,SG,0.01182
IR,NL,0.00501
AU,VN,0.01935
EG,JP,0.00900
BF,FR,0.02484
FI,HU,0.01990
AU,KE,0.01470
DK,IL,0.01048
AU,CZ,0.00932
JP,ZA,0.00652
GE,US,0.00889
ID,JP,0.01685
CO,DE,0.01073
DE,RS,0.01176
FI,GR,0.01420
DK,HU,0.01593
BR,IL,0.00705
CA,HK,0.01075
CL,PL,0.01569
IN,TH,0.00860
JP,NZ,0.00786
BR,NO,0.00775
NL,SI,0.01422
IN,MX,0.00717
ES,RO,0.01252
CH,CL,0.01205
DK,ZA,0.01276
CH,MX,0.01018
EC,US,0.01480
EE,IT,0.01599
ES,UA,0.01158
BG,FR,0.01291
RW,US,0.01713
NG,ZA,0.02668
NL,TH,0.01019
LK,UK,0.01358
RS,US,0.00671
US,ZW,0.01298
HK,JP,0.00976
CA,UG,0.01392
NP,US,0.00974
SE,TZ,0.02185
AU,HU,0.00910
CA,EG,0.00867
AE,US,0.01005
IE,PT,0.01187
CZ,HU,0.02319
SN,US,0.01057
IL,PL,0.00873
BF,UK,0.01660
QA,UK,0.01257
CY,GR,0.05465
KR,NL,0.00344
AT,SI,0.02218
FR,LU,0.01824
FI,IN,0.00528
PR,US,0.01682
IT,SA,0.00645
CH,TR,0.00687
CA,TH,0.00802
AT,IN,0.00432
IL,PT,0.00755
AR,NL,0.00856
IT,SG,0.00688
DE,GH,0.01188
KR,SE,0.00418
UK,ZM,0.01587
EG,IT,0.00749
NO,TZ,0.03044
BG,UK,0.00863
CL,JP,0.00735
AT,IE,0.01343
BD,JP,0.01328
CO,FR,0.01149
IR,TR,0.00775
DK,IS,0.03527
AM,RU,0.02887
NL,TZ,0.01565
IE,JP,0.00640
IN,NP,0.01921
BF,US,0.00981
GH,ZA,0.04036
NO,ZA,0.01275
HU,PT,0.01118
NP,UK,0.01334
PK,TR,0.01691
FR,KE,0.00941
SE,SG,0.01046
AM,IT,0.01597
ES,SG,0.00837
AR,CN,0.00547
FR,MY,0.00526
CM,UK,0.01090
PL,RO,0.01536
IN,PK,0.00724
BE,KE,0.01790
SK,UK,0.00986
CN,TR,0.00362
AR,BE,0.01203
MZ,US,0.01230
AM,US,0.00725
BJ,FR,0.02590
BR,PL,0.00495
US,UY,0.00906
CZ,FI,0.01482
IT,RS,0.01197
DE,TZ,0.00908
CL,CN,0.00566
FR,HR,0.01020
FR,VN,0.01168
CA,TR,0.00449
DE,LT,0.01248
EE,FR,0.01269
HU,RO,0.02677
EE,ES,0.01652
AU,BD,0.01480
BR,TW,0.00594
RS,UK,0.00845
DE,IS,0.01222
JP,MX,0.00566
BD,IN,0.01203
SE,UA,0.01166
DK,TZ,0.02316
IT,TH,0.00652
LU,UK,0.01138
DE,MY,0.00391
IN,TR,0.00413
TZ,ZA,0.03095
CH,SI,0.01280
DE,GE,0.01113
BR,FI,0.00616
AU,PG,0.03879
ES,SA,0.00692
DK,NZ,0.01204
GR,HU,0.01439
EG,FR,0.00626
CH,IR,0.00421
CH,TH,0.00918
DE,KE,0.00662
CA,CO,0.01070
CY,DE,0.01368
GR,IL,0.00908
CN,CZ,0.00457
CN,EG,0.00532
FI,IE,0.01352
IE,PL,0.01018
NL,RO,0.00906
KE,SE,0.01337
BE,RO,0.01381
CZ,NO,0.01282
IN,NO,0.00406
MW,ZA,0.04542
BD,MY,0.03155
BR,KR,0.00310
GR,RU,0.00715
SE,VN,0.01734
CL,SE,0.00955
CH,UG,0.01448
KR,RU,0.00375
CL,RU,0.01047
CY,UK,0.01216
CA,UA,0.00711
BR,PE,0.01859
CH,TW,0.00548
AT,RO,0.01468
AU,LK,0.01723
TZ,UG,0.06223
CH,GH,0.01775
CM,ZA,0.03561
KR,SG,0.00722
CO,MX,0.02972
CL,MX,0.01823
FR,HK,0.00682
MY,SG,0.01556
NZ,ZA,0.01500
AR,JP,0.00546
AU,PH,0.01967
CZ,GR,0.01261
LT,UK,0.01002
AR,PT,0.00916
CN,IR,0.00226
JP,TR,0.00363
BE,SI,0.01491
IT,SK,0.01133
HU,NO,0.01258
GE,RU,0.02197
AR,CO,0.03137
BE,LU,0.02619
NL,TW,0.00444
EG,MY,0.01660
LK,US,0.00620
BE,MX,0.00902
DE,ID,0.00856
AT,UA,0.01310
SE,TH,0.00900
CU,US,0.00661
NL,VN,0.01254
BG,ES,0.01167
ID,MY,0.03106
BG,RU,0.01582
CL,DK,0.01137
BR,SG,0.00741
CN,SI,0.00645
GM,US,0.01031
PA,US,0.01316
AT,SK,0.02296
TH,VN,0.03630
LT,US,0.00613
JP,PH,0.01497
MX,RU,0.00804
IE,IN,0.00484
NL,SA,0.00581
CY,US,0.00716
CH,RO,0.00922
IN,IR,0.00252
ES,IR,0.00315
SG,TW,0.01146
MX,PT,0.00767
FI,IL,0.00784
PL,SI,0.01369
BE,TR,0.00631
SE,TR,0.00528
ES,HR,0.01054
CH,HR,0.01194
HU,SI,0.02438
NL,UG,0.01076
SE,SI,0.01132
HK,TW,0.01452
DE,VN,0.00725
DE,ET,0.00707
BR,IE,0.00651
FR,MG,0.02426
GR,TR,0.00799
HU,RU,0.00824
BE,BG,0.01594
ZA,ZW,0.04928
AR,IN,0.00485
RU,TR,0.00556
RO,SE,0.00957
CH,UA,0.00827
BW,US,0.01187
BR,MY,0.00557
CA,PE,0.01166
CA,MY,0.00415
BG,PL,0.01549
DE,GA,0.01878
BE,UG,0.01574
AT,HR,0.01628
IL,NO,0.00703
GH,KE,0.05154
ID,TH,0.03615
BR,GR,0.00478
BR,CZ,0.00620
MA,MY,0.02390
IE,NO,0.01046
IR,PK,0.00865
CL,PT,0.00839
MX,ZA,0.01154
CY,IT,0.01384
CH,PK,0.00732
FR,RS,0.00840
RO,RU,0.01005
NO,UG,0.01917
LT,SE,0.01857
BR,NZ,0.00646
PL,TR,0.00570
UK,VE,0.00853
GT,US,0.01434
PH,UK,0.00939
AT,TR,0.00632
IS,NO,0.02725
HK,IT,0.00571
BD,SE,0.01362
LU,NL,0.01446
RU,SK,0.01656
GE,IT,0.01042
TH,ZA,0.01316
KR,PL,0.00317
TN,US,0.00403
GR,IN,0.00323
NL,UA,0.00656
BG,GR,0.01909
SD,UK,0.01056
ZA,ZM,0.03877
FR,SK,0.00901
PT,ZA,0.00600
CO,IT,0.00751
CU,ES,0.01492
IE,RU,0.00714
BE,ET,0.01545
GH,NL,0.01193
IS,NL,0.01359
BR,TR,0.00412
AU,CO,0.00930
IT,PK,0.00472
PT,RO,0.00934
KR,TH,0.00611
MX,SE,0.00620
PL,ZA,0.00645
AU,TZ,0.00980
BR,HU,0.00598
EE,NL,0.01114
AR,ZA,0.01168
ES,VE,0.01429
KH,US,0.00886
ES,RS,0.01019
RU,TW,0.00493
HU,IL,0.00902
FR,GA,0.02088
JO,US,0.00639
SN,UK,0.00930
ML,UK,0.01299
CZ,IN,0.00396
BR,UY,0.01812
CL,ZA,0.01211
AT,ZA,0.00691
HR,NL,0.00857
GH,SE,0.01436
ET,NO,0.01834
BY,DE,0.00995
MY,NL,0.00420
ES,MZ,0.02124
CM,DE,0.00741
ES,UY,0.01577
BE,TH,0.00832
IT,QA,0.00963
AE,UK,0.00847
DK,TR,0.00560
LB,UK,0.00718
RU,ZA,0.00562
CL,CO,0.02550
CN,PH,0.00984
BE,KR,0.00291
ES,PE,0.01189
DK,KR,0.00315
GR,IE,0.00924
BR,VE,0.01490
RO,TR,0.01158
EG,NL,0.00535
PT,TR,0.00449
CZ,IL,0.00795
IN,KE,0.00583
AU,TR,0.00326
PG,US,0.00961
EG,QA,0.03529
NL,SK,0.01027
CH,EE,0.01180
BR,CU,0.01483
PT,SI,0.00970
IR,JP,0.00193
HR,SI,0.03264
IL,TR,0.00564
DE,MA,0.00534
FR,PK,0.00408
BE,CG,0.03357
IQ,MY,0.03907
FI,NZ,0.00950
PL,TW,0.00483
ES,MA,0.00872
BE,SG,0.00715
CU,UK,0.00727
HU,IN,0.00377
FR,IS,0.00923
BY,RU,0.02060
DE,QA,0.00702
IT,LU,0.00972
FI,IS,0.02385
AR,UY,0.03870
DK,SA,0.00705
SG,TH,0.01379
CL,IN,0.00403
NL,PK,0.00511
DK,EE,0.01601
CH,EG,0.00593
CN,VN,0.00601
AT,NZ,0.00772
AU,GH,0.01015
EC,UK,0.01097
IN,NZ,0.00371
DK,SG,0.00753
NO,NZ,0.00871
IR,SA,0.00576
MG,US,0.00894
SD,US,0.00565
IL,SI,0.01154
BR,TH,0.00556
JP,UA,0.00436
AM,FR,0.00856
CI,FR,0.01687
KH,UK,0.01153
HK,NL,0.00582
AU,PK,0.00496
HU,IE,0.01152
FI,UA,0.01081
DE,PE,0.00648
SE,TW,0.00381
BJ,US,0.00704
BG,CH,0.00907
BO,US,0.00956
MX,VE,0.02930
FR,LT,0.00886
CH,ET,0.00969
AR,DK,0.00726
AT,KR,0.00284
EG,IN,0.00398
CA,RO,0.00480
FI,TR,0.00591
MA,US,0.00296
FR,UG,0.00600
CZ,RO,0.01431
ET,SE,0.01043
IT,TN,0.00681
FR,VE,0.00899
CH,CI,0.02465
CH,VN,0.00981
EG,ES,0.00490
ES,HK,0.00569
ES,TH,0.00476
LT,PL,0.01675
JP,SA,0.00324
PL,SK,0.01394
ES,LT,0.01131
BY,US,0.00510
DE,LV,0.01087
MX,PE,0.02516
KH,TH,0.05641
IT,MY,0.00282
AR,SE,0.00538
IT,LT,0.00870
SA,SD,0.03628
FR,KH,0.01472
NO,SI,0.01198
CZ,SI,0.01612
BG,NL,0.00733
IE,NZ,0.01084
CA,SI,0.00526
KW,US,0.00527
BE,EE,0.01342
FR,UY,0.00997
BF,CH,0.01525
CH,SA,0.00446
BF,DE,0.00817
AU,NG,0.00525
TH,TW,0.00829
JP,PK,0.00370
AM,CH,0.01163
DE,LB,0.00628
EE,NO,0.01639
FI,ZA,0.00658
CH,SK,0.01015
CA,LB,0.00857
IS,IT,0.00821
FR,ID,0.00662
EE,PL,0.01273
ES,IS,0.01036
AT,TW,0.00446
GR,ZA,0.00632
GH,TZ,0.04436
CN,PE,0.00624
BE,UA,0.00719
BD,PK,0.02279
DE,UG,0.00429
BE,TW,0.00399
BE,CO,0.01028
CG,US,0.00677
BJ,UK,0.00944
FR,PE,0.00704
CA,EE,0.00697
CA,TZ,0.00614
FR,ML,0.01294
AU,HR,0.00639
CH,PE,0.01041
MY,TW,0.00590
MX,PL,0.00524
GR,RO,0.00964
PH,TH,0.03311
NL,RS,0.00728
FI,TW,0.00509
IN,PH,0.00893
CN,NG,0.00325
IE,ZA,0.00786
PL,RS,0.01083
SA,TN,0.01873
CU,IT,0.00807
FI,LT,0.01940
CI,US,0.00681
PL,SG,0.00569
HT,US,0.01182
AT,SG,0.00621
CN,RO,0.00318
PK,SE,0.00521
BE,BF,0.01781
CN,ID,0.00525
CH,NG,0.00550
JP,KE,0.00440
BD,TH,0.02122
MY,NZ,0.00844
DE,NG,0.00295
IT,MA,0.00530
FI,KR,0.00284
CH,MY,0.00359
HK,KR,0.00504
CO,CZ,0.01657
AU,SI,0.00542
AT,MX,0.00553
AE,DE,0.00663
IL,TW,0.00428
DE,VE,0.00601
AU,UG,0.00640
MT,UK,0.01217
HR,SE,0.00777
AT,RS,0.01162
CL,IL,0.00677
IL,SG,0.00635
AU,PE,0.00847
CU,MX,0.02450
CH,PH,0.01235
EE,RU,0.01050
BE,PE,0.01271
SA,SE,0.00422
CH,CO,0.00726
GR,SI,0.01045
IT,KE,0.00417
ES,SK,0.00779
HU,TW,0.00655
CA,CM,0.00703
CN,CO,0.00414
GE,UK,0.00482
IQ,UK,0.00727
LU,NO,0.01755
HU,TR,0.00642
IT,LB,0.00690
MZ,UK,0.00833
LU,SE,0.01168
UK,UY,0.00619
JM,US,0.00748
KR,VN,0.00711
IT,PE,0.00653
CN,CU,0.00642
HU,KR,0.00365
CO,NL,0.00611
DK,KE,0.00834
HK,SE,0.00569
DK,RO,0.00721
CH,LU,0.01051
BE,VN,0.01009
ES,MY,0.00293
GH,NG,0.02668
DK,SI,0.00836
BD,CA,0.00567
IN,RO,0.00358
CI,UK,0.00958
IL,UA,0.00720
IT,VE,0.00726
IN,NG,0.00353
DE,PH,0.00617
ID,VN,0.03756
AT,IR,0.00281
AU,EE,0.00711
BE,GM,0.02191
DK,TH,0.00604
AR,PL,0.00509
MY,SE,0.00359
ET,ZA,0.01408
AM,BR,0.00949
KE,MW,0.03920
CZ,IE,0.00823
CO,IN,0.00482
IL,KR,0.00226
CY,ES,0.01030
CZ,TR,0.00577
BE,RS,0.00966
AT,BG,0.00976
GA,US,0.00641
CA,HR,0.00476
NO,ZM,0.02054
BR,EC,0.01570
HR,PL,0.00843
LV,US,0.00494
MA,SA,0.01499
IT,VN,0.00499
IL,ZA,0.00459
CA,VN,0.00535
BD,NL,0.00629
KE,TH,0.01427
AR,PE,0.02086
BD,DE,0.00394
DK,TW,0.00363
CR,ES,0.01300
BG,CZ,0.01446
CY,FR,0.00756
NA,US,0.00854
RS,SI,0.02475
NZ,PK,0.00973
IL,MX,0.00507
GR,MX,0.00578
CN,RS,0.00414
BE,TZ,0.00905
HU,SK,0.01862
CH,ZM,0.01182
BE,HR,0.00802
MW,ZM,0.07981
JP,SI,0.00375
FR,GH,0.00538
IE,IL,0.00517
CH,PG,0.01930
BE,IR,0.00237
AU,EG,0.00344
NZ,SG,0.00864
ID,IN,0.00538
BF,SN,0.08446
CA,IS,0.00680
DE,UZ,0.00763
AT,CL,0.00562
FI,SI,0.00928
BF,CA,0.00832
BE,LT,0.01206
LT,NL,0.00791
IR,PT,0.00210
CH,CM,0.00844
HK,IN,0.00326
KR,NO,0.00226
CH,ID,0.00754
FR,PH,0.00697
AT,EE,0.01086
LV,UK,0.00714
AR,VE,0.02228
JP,RO,0.00317
BR,UA,0.00422
ET,NL,0.00565
ES,LU,0.00803
SA,TR,0.00517
BE,SA,0.00426
FR,QA,0.00562
DK,MX,0.00451
BR,SA,0.00320
EE,HU,0.01726
AU,RO,0.00382
KR,MY,0.00265
AU,QA,0.00721
SY,US,0.00585
PK,ZA,0.00726
OM,US,0.00397
MX,TW,0.00498
BR,RO,0.00429
AT,EG,0.00545
FI,MX,0.00539
DK,HR,0.00817
NG,NL,0.00377
AU,MW,0.00844
BE,CM,0.01057
AT,TH,0.00536
CZ,IR,0.00378
KR,MX,0.00283
DK,GH,0.01051
HR,RU,0.00678
AM,ES,0.00723
DK,UG,0.00842
BD,CH,0.00652
NG,SE,0.00471
KZ,US,0.00476
CU,DE,0.00489
CH,IS,0.00858
CA,MW,0.00707
AR,IL,0.00502
KW,UK,0.00558
CN,UA,0.00235
BY,UK,0.00525
NL,PE,0.00661
GR,RS,0.01075
CL,GR,0.00601
HK,SG,0.01012
NO,RO,0.00689
BR,EG,0.00356
KR,UA,0.00357
NG,UG,0.01757
NE,US,0.00746
TN,UK,0.00319
AU,UA,0.00338
MY,NG,0.00828
GR,SA,0.00522
IL,NZ,0.00493
BR,PK,0.00359
CL,FI,0.00607
IR,RU,0.00196
BF,KE,0.03622
ES,PG,0.01521
PT,UA,0.00466
CL,PE,0.01944
CA,QA,0.00579
DK,LT,0.01200
CO,JP,0.00399
CH,GE,0.00790
EE,JP,0.00473
