countryFrom,countryTo,value
DK,ES,0.01658
AT,CH,0.01979
CZ,DE,0.00783
TR,US,0.00285
CH,SE,0.01560
IT,PT,0.00990
DK,NO,0.03330
BE,CA,0.01150
IR,US,0.00268
CN,SE,0.00732
JP,KR,0.00837
SA,US,0.00277
IN,MY,0.01198
IT,PL,0.01001
JP,NL,0.00790
CA,IN,0.00679
CN,TW,0.00787
GR,IT,0.01052
AT,NL,0.01420
HK,US,0.00265
CH,JP,0.00837
AT,ES,0.01414
FR,IL,0.00931
CL,DE,0.00669
FI,FR,0.00936
DE,IE,0.00655
CZ,UK,0.00556
FI,IT,0.00967
CH,CN,0.00601
CA,DK,0.00990
FR,GR,0.00901
AU,IN,0.00685
UG,US,0.00236
AU,DK,0.01237
EG,US,0.00233
BE,SE,0.01623
AU,BE,0.01160
IL,IT,0.00867
HU,UK,0.00522
NL,NO,0.01301
FR,NO,0.00851
TH,UK,0.00520
EG,SA,0.06523
MY,SA,0.04892
ES,PL,0.01161
SG,UK,0.00510
CH,DK,0.01467
AU,BR,0.00900
CN,SG,0.00685
DE,ZA,0.00571
IN,IT,0.00509
BR,CN,0.00530
CN,KR,0.00505
DE,KR,0.00448
FI,NL,0.01240
CL,FR,0.00865
CZ,FR,0.00846
CN,IN,0.00412
CL,UK,0.00470
NL,PT,0.00957
JP,RU,0.00712
IN,JP,0.00476
AT,CA,0.00832
JP,TW,0.00765
AT,SE,0.01425
KR,UK,0.00347
JP,SE,0.00633
ES,GR,0.01101
CH,RU,0.01056
BR,NL,0.00743
AU,ZA,0.01087
ES,FI,0.01075
TW,UK,0.00389
CN,DK,0.00506
PE,US,0.00180
IT,NO,0.00691
UG,UK,0.00414
DK,FI,0.02089
ES,RU,0.00857
AR,ES,0.01156
FR,ZA,0.00677
CA,ZA,0.00800
NL,PL,0.00872
ES,NO,0.01009
MY,US,0.00169
DE,UA,0.00464
CL,ES,0.01145
BR,CH,0.00819
CA,NO,0.00741
PK,US,0.00167
NL,ZA,0.01000
CO,US,0.00167
ES,MX,0.01071
TZ,UK,0.00389
CH,PL,0.01017
BE,DK,0.01497
AT,BE,0.01497
FR,IE,0.00648
AT,AU,0.00859
PL,RU,0.01225
PL,SE,0.01101
TZ,US,0.00161
FR,HU,0.00633
CA,IL,0.00667
AR,BR,0.01266
CH,PT,0.00891
CA,FI,0.00686
CA,RU,0.00586
GR,NL,0.00873
CH,IN,0.00487
FI,NO,0.02102
AU,FI,0.00861
BR,JP,0.00466
AU,NO,0.00835
NL,RU,0.00704
CZ,IT,0.00615
SI,US,0.00146
RU,SE,0.00933
DE,MX,0.00385
AR,FR,0.00585
AR,UK,0.00328
IR,MY,0.01432
CH,FI,0.01055
SA,UK,0.00324
DE,NZ,0.00381
AU,SG,0.00896
AT,CN,0.00399
MX,UK,0.00317
BE,CN,0.00386
IE,IT,0.00583
HU,IT,0.00582
BE,JP,0.00509
CH,ZA,0.01062
CH,IL,0.00929
AR,DE,0.00361
BE,PL,0.01119
BE,PT,0.01005
ES,IL,0.00746
CL,IT,0.00566
BD,US,0.00134
CA,KR,0.00420
CA,PL,0.00528
ES,IN,0.00383
MY,UK,0.00292
NG,US,0.00130
DE,RO,0.00353
IR,UK,0.00261
AU,TH,0.00833
CH,GR,0.00936
IN,NL,0.00364
DE,TW,0.00318
BE,BR,0.00748
IE,NL,0.00775
CN,MY,0.00373
IN,SA,0.00531
CA,NZ,0.00574
IN,SE,0.00407
AT,DK,0.01194
ES,HU,0.00783
IL,NL,0.00645
FI,RU,0.01133
ES,IE,0.00772
DE,TR,0.00298
TR,UK,0.00255
UA,US,0.00117
DK,JP,0.00444
CZ,ES,0.00754
CA,PT,0.00431
FR,TN,0.00481
DE,SG,0.00301
MY,TH,0.02729
FR,RO,0.00464
AT,JP,0.00427
CH,NO,0.00798
DK,PL,0.00992
CA,IE,0.00520
JP,TH,0.00480
AU,MY,0.00657
RO,US,0.00109
PT,SE,0.00680
CN,RU,0.00286
PK,UK,0.00245
DE,SI,0.00291
FR,MA,0.00448
BR,SE,0.00549
HR,US,0.00106
GH,UK,0.00246
HU,NL,0.00662
GH,US,0.00104
BE,RU,0.00793
IT,SI,0.00455
BR,RU,0.00585
FR,MX,0.00409
IN,ZA,0.00437
IT,ZA,0.00417
MW,UK,0.00245
US,ZM,0.00104
BE,NO,0.01054
GR,SE,0.00850
US,VN,0.00102
FR,NZ,0.00408
DE,HR,0.00280
BR,IN,0.00321
IT,TR,0.00387
FI,JP,0.00407
SE,ZA,0.00880
CA,TW,0.00430
CN,FI,0.00294
BE,ZA,0.01131
RU,UA,0.01187
FR,KR,0.00277
AR,IT,0.00413
BR,MX,0.00765
JP,PL,0.00358
CA,MX,0.00457
AT,PL,0.00887
CN,PT,0.00257
DK,PT,0.00777
CA,SA,0.00453
BE,GR,0.01018
MW,US,0.00097
IT,MX,0.00397
CA,IR,0.00360
CH,CZ,0.00781
IT,RO,0.00414
DE,IR,0.00221
AU,PT,0.00445
IL,RU,0.00815
EG,UK,0.00217
BR,CL,0.00776
FR,TR,0.00349
CH,HU,0.00779
CZ,PL,0.01154
AU,IE,0.00585
FR,TW,0.00344
CZ,NL,0.00582
DZ,FR,0.00400
CN,IL,0.00266
ES,ZA,0.00572
AU,IL,0.00496
AU,RU,0.00434
ET,US,0.00092
CN,TH,0.00286
CA,CL,0.00438
CN,SA,0.00278
PT,RU,0.00617
AU,PL,0.00445
BE,CZ,0.01112
SI,UK,0.00205
JP,PT,0.00307
CZ,SE,0.00827
UK,VN,0.00206
AU,CL,0.00564
AT,HU,0.01273
IT,KR,0.00250
HK,UK,0.00199
AT,PT,0.00696
JP,SG,0.00369
EE,US,0.00085
AT,RU,0.00700
KE,ZA,0.02331
AT,FI,0.01003
FR,SG,0.00335
AR,CA,0.00398
IT,TW,0.00320
ID,US,0.00084
HU,SE,0.00796
FR,TH,0.00335
DE,SA,0.00218
BE,FI,0.00874
CA,GR,0.00363
DE,EG,0.00220
AT,NO,0.00942
AR,CL,0.02397
PL,PT,0.00606
FI,PL,0.00858
IN,KR,0.00243
AT,CZ,0.01153
CN,NO,0.00235
IS,US,0.00081
QA,US,0.00081
NG,UK,0.00185
BG,DE,0.00220
HR,UK,0.00186
IL,JP,0.00308
AU,TW,0.00441
AU,KR,0.00297
CN,MX,0.00240
FR,SN,0.00336
NL,NZ,0.00494
NO,RU,0.00712
BE,HU,0.00981
BR,CO,0.00683
BE,IN,0.00285
CN,GR,0.00226
IR,IT,0.00259
GM,UK,0.00178
CO,ES,0.00535
CM,FR,0.00319
CN,ZA,0.00224
IE,SE,0.00699
AU,IR,0.00345
IT,NZ,0.00311
DK,GR,0.00853
PK,SA,0.02051
DE,PK,0.00198
FR,UA,0.00300
DK,RU,0.00598
LB,US,0.00074
CA,PK,0.00352
CH,IE,0.00582
CA,CZ,0.00334
GR,PL,0.00737
NO,PL,0.00717
ES,TR,0.00403
ET,UK,0.00164
CA,SG,0.00333
CZ,RU,0.00758
AT,BR,0.00447
CN,NZ,0.00214
EE,UK,0.00162
CA,HU,0.00326
IT,UA,0.00293
ES,KR,0.00263
BR,DK,0.00430
IL,SE,0.00512
HU,JP,0.00291
PL,UA,0.00903
BE,IE,0.00825
CM,US,0.00066
IR,SE,0.00411
CZ,SK,0.02690
PH,US,0.00066
BE,IL,0.00622
JP,NO,0.00261
PE,UK,0.00154
AT,IL,0.00684
US,VE,0.00065
CL,NL,0.00414
DE,EE,0.00179
DE,SK,0.00179
CN,HU,0.00200
AT,GR,0.00763
MY,PK,0.01562
SK,US,0.00064
FR,SI,0.00265
AU,SA,0.00393
BR,ZA,0.00472
BE,CL,0.00833
SE,UG,0.00692
JP,MY,0.00262
CH,TZ,0.00583
